site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom
Transition,I-Gatherer,Leptophlebiidae,2,NA,Invertebrate,-30.0134325,-106.00880952400837,15.30250791,-17.17,0.173,0.122,0.31607229912589563,-111.4357709,Animal
Transition,F-Piscivore,M.salmoides,3.8,120,Fish,-26.87899143,-100.72330331745663,22.4393724,-17.17,0.173,0.122,0.5141299698627473,-109.5509149,Animal
Transition,F-Piscivore,M.salmoides,3.8,120,Fish,-26.36907239,-94.48037651745663,22.25668816,-17.17,0.173,0.122,0.5141299698627473,-103.3079881,Animal
Transition,F-Piscivore,M.salmoides,3.8,120,Fish,-26.30975528,-94.40253221745662,21.65383015,-17.17,0.173,0.122,0.5141299698627473,-103.2301438,Animal
Transition,I-Predator,Nepidae,3,NA,Invertebrate,-26.57111812,-77.10180328205493,15.09524202,-17.17,0.173,0.122,0.4343917913771157,-84.56031034,Animal
Transition,I-Predator,Nepidae,3,NA,Invertebrate,-26.19656606,-83.19300149205492,14.09037345,-17.17,0.173,0.122,0.4343917913771157,-90.65150855,Animal
Transition,F-Herbivore,P.latipinna,2,40,Fish,-26.37011304,-105.14357772400838,19.52352887,-17.17,0.173,0.122,0.31607229912589563,-110.5705391,Animal
Transition,F-Herbivore,P.latipinna,2,40,Fish,-24.36165644,-86.90671172400837,16.24536159,-17.17,0.173,0.122,0.31607229912589563,-92.3336731,Animal
Transition,F-Herbivore,P.latipinna,2,40,Fish,-24.0328107,-89.45658448400837,16.50517919,-17.17,0.173,0.122,0.31607229912589563,-94.88354586,Animal
Transition,F-Piscivore,P.olivaris,3.8,120,Fish,-26.38260086,-94.87335081745663,20.6247089,-17.17,0.173,0.122,0.5141299698627473,-103.7009624,Animal
Transition,F-Piscivore,P.olivaris,3.8,160,Fish,-26.38260086,-94.87335081745663,20.6247089,-17.17,0.173,0.122,0.5141299698627473,-103.7009624,Animal
Transition,I-Gatherer,Palaemonidae,2,NA,Invertebrate,-25.66961746,-87.04743588400838,18.1430084,-17.17,0.173,0.122,0.31607229912589563,-92.47439726,Animal
Transition,I-Gatherer,Palaemonidae,2,NA,Invertebrate,-26.49062699,-99.27453992400838,18.8273239,-17.17,0.173,0.122,0.31607229912589563,-104.7015013,Animal
Transition,I-NA,periphyton,1,NA,Aquatic,-11.79371325,-123.2720315278215,16.33467389,-17.17,0.173,0.122,0.17300157088983747,-126.2424685,Plant
Transition,I-NA,periphyton,1,NA,Aquatic,-18.05531085,-136.9910124278215,16.37933004,-17.17,0.173,0.122,0.17300157088983747,-139.9614494,Plant
Transition,I-NA,periphyton,1,NA,Aquatic,-24.69362414,-127.3388837278215,15.43038688,-17.17,0.173,0.122,0.17300157088983747,-130.3093207,Plant
Transition,I-NA,periphyton,1,NA,Aquatic,-15.87202487,-138.8622442278215,15.16650964,-17.17,0.173,0.122,0.17300157088983747,-141.8326812,Plant
Transition,I-NA,periphyton,1,NA,Aquatic,-18.37791269,-119.2819540278215,16.73759414,-17.17,0.173,0.122,0.17300157088983747,-122.252391,Plant
Transition,I-NA,periphyton,1,NA,Aquatic,-18.32483948,-129.1492251878215,16.38338969,-17.17,0.173,0.122,0.17300157088983747,-132.11966216,Plant
Transition,I-Herbivore,Thiaridae,2,NA,Invertebrate,-25.47429232,-128.18363872400838,17.80235795,-17.17,0.173,0.122,0.31607229912589563,-133.6106001,Animal
Transition,I-Predator,Veliidae,2,NA,Invertebrate,-28.57159102,-95.40582942400837,15.82879608,-17.17,0.173,0.122,0.31607229912589563,-100.8327908,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,120,Fish,-27.64076789,-86.92191941746938,10.58817105,-6.45,0.173,0.122,0.46875785465590836,-89.94540758,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,120,Fish,-27.64076789,-83.17917676746939,10.58817105,-6.45,0.173,0.122,0.46875785465590836,-86.20266493,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,120,Fish,-28.67112522,-78.36848808746939,9.069484709,-6.45,0.173,0.122,0.46875785465590836,-81.39197625,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,160,Fish,-28.21249327,-82.70964939946938,8.755366002,-6.45,0.173,0.122,0.46875785465590836,-85.733137562,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,160,Fish,-27.47903657,-77.2971351874694,8.886858638,-6.45,0.173,0.122,0.46875785465590836,-80.32062335,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,160,Fish,-28.04252086,-82.28800831746939,8.974857556,-6.45,0.173,0.122,0.46875785465590836,-85.31149648,Animal
Sub-Humid,F-Invertivore,A.natalis,3.33,160,Fish,-27.77777596,-82.12477856746939,8.839318993,-6.45,0.173,0.122,0.46875785465590836,-85.14826673,Animal
