site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
Transition,< 100mm,Size,33.804725137193266,3.2873863843017173,26.979336322967857,31.71667161978154,33.86993544406726,35.94529668632681,39.92834481144668
Transition,< 150mm,Size,35.70040792362993,7.404620890461584,16.02259463168442,32.838152936582894,36.83846942638217,40.21450096493868,47.39824600256826
Transition,< 50mm,Size,37.52850936515148,6.242755475376933,22.760160314680384,34.33360535079869,38.01608244018947,41.477868266236285,48.90445042208688
Transition,> 150mm,Size,33.031952038094055,11.595101951018512,9.812760132456317,25.933546948763752,33.315379423250036,40.08129056571357,57.66195335180673
Semi-Arid,< 100mm,Size,68.01276562744562,6.939153255564292,55.1279092789613,63.223168584236824,67.69284590914431,72.38481738531452,82.81339096537722
Semi-Arid,< 150mm,Size,60.203526332898335,21.699904928455542,12.282527749217023,46.04057811018788,62.93439158672722,77.14296822306159,93.88799238902409
Semi-Arid,< 50mm,Size,78.49933605915186,10.669925128173267,56.80567007987197,71.19823583875878,79.27735340812654,86.68216135748011,96.1788282659169
Semi-Arid,> 150mm,Size,54.79723586035623,24.07711735288809,10.103242075540312,35.709653702742614,56.29800175419759,74.83523092256846,93.23241119318818
Sub-Humid,Coenagrionidae,Species,30.37067627936751,18.273109986622778,4.423431740602068,16.52277628843673,27.285414019604676,41.259298929210104,73.92562618585366
Sub-Humid,Corbiculidae,Species,20.157252474669658,11.838372325524999,3.7890676572030735,11.725348423385498,18.27786758308589,26.09968871779187,48.35362237430386
Sub-Humid,L.cyanellus,Species,17.62481347026546,11.736900264201699,2.7966636706920918,9.358686765372482,15.44884499738124,23.01441995155814,45.363803484221265
Sub-Humid,L.gulosus,Species,12.35102393564349,8.631490067456216,1.8581485075514999,6.422241902732464,10.751079563056331,16.006074652222782,33.080075271308246
Sub-Humid,L.macrochirus,Species,7.819825457925096,4.715000180070824,1.425996087762143,4.280427268317586,6.938287910251217,10.411712629653922,18.70976249279931
Sub-Humid,P.latipinna,Species,18.4884935939546,12.241429818073986,2.8758509186854386,9.595759099238172,15.996192201176495,23.978002639830994,49.116474579720865
Transition,Coenagrionidae,Species,25.219762436027075,10.658314907584781,6.377747433244433,19.008405970829976,24.341104350482112,30.174694733854817,49.58690940870813
Transition,Corbiculidae,Species,30.100698547458514,13.216844339845805,5.846109424020663,20.426823161722893,30.73853140268352,38.78237578976554,56.634682237513154
Transition,L.cyanellus,Species,33.440845845998815,11.877611318998246,7.650910827114503,25.693747399641488,36.27474542618069,41.991591892478816,51.77999048669838
Transition,L.gulosus,Species,34.86254540063127,13.86076730765363,8.453607644549347,26.61459433685328,34.16068659820521,42.16308392866041,66.71083641041284
Transition,L.macrochirus,Species,36.33608529214268,9.137946858521566,15.864170775156444,31.16332193102938,37.76121614675802,42.40082178236406,51.626382004911356
Transition,P.latipinna,Species,39.09826939538259,17.315385953585007,8.231423144104914,26.68466157648508,38.87207554430636,50.07631892558023,76.27382922463494
Semi-Arid,Coenagrionidae,Species,47.05612856704306,23.893934266116933,5.880490999610636,28.00047103538466,46.63274404098436,65.58885305403064,91.2882651180634
Semi-Arid,Corbiculidae,Species,41.2633328071188,14.574030574358368,13.314355227957394,31.735794930657057,41.16884819626664,49.92108776104663,72.98908170548265
Semi-Arid,L.cyanellus,Species,61.7813122634184,18.090517467830754,21.719214446396247,50.620288291849214,63.141413292290636,74.7502283454,92.15943025467594
Semi-Arid,L.gulosus,Species,62.460103969963555,16.2251288756935,28.289668477596646,52.13846110318781,62.804264370357444,73.85895789059202,91.86907554950884
Semi-Arid,L.macrochirus,Species,61.096183652723326,16.4940375526498,25.36075261415329,50.8872787910458,61.699690044740265,72.50837009876217,91.36205346339263
Semi-Arid,P.latipinna,Species,80.42466344072066,9.560511529924392,60.53179705918065,73.63737764959632,80.85847216712015,87.91069040412495,96.25209757697279
