site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom,src_d15N_AQ_mu,src_d15N_TE_mu,percent_AQ_mu,percent_TE_mu,nitrogen_raw
Transition,I-Predator,Aeshnidae,3,NA,Invertebrate,-31.32331447,-87.79598921205493,0.7166330678162183,-17.17,0.173,0.122,0.4343917913771157,-95.25449627,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,11.61035782
Transition,F-Invertivore,C.lutrensis,2.82,40,Fish,-26.06416162,-105.45362569175587,6.980649149332145,-17.17,0.173,0.122,0.4147186143415337,-112.5743443,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,18.9155963
Transition,F-Invertivore,C.lutrensis,2.82,40,Fish,-26.16094217,-116.58431849175588,4.859482089332144,-17.17,0.173,0.122,0.4147186143415337,-123.7050371,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,16.79442924
Transition,I-Predator,Coenagrionidae,3,NA,Invertebrate,-27.74481313,-87.90914680205492,6.797887107816216,-17.17,0.173,0.122,0.4343917913771157,-95.36765386,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,17.69161186
Transition,I-Predator,Coenagrionidae,3,NA,Invertebrate,-27.41700804,-89.50914204705492,8.941382247816216,-17.17,0.173,0.122,0.4343917913771157,-96.967649105,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,19.835107
Transition,I-Predator,Coenagrionidae,3,NA,Invertebrate,-28.4774315,-91.10913729205492,6.590844967816217,-17.17,0.173,0.122,0.4343917913771157,-98.56764435,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,17.48456972
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-27.62097565,-86.65542655400837,3.020487525912439,-17.17,0.173,0.122,0.31607229912589563,-92.08238793,Animal,16.539629825555554,9.326364980000001,0.305915566852808,0.694084433147192,14.55350251
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-25.85707206,-79.61357419400838,-0.213023614087561,-17.17,0.173,0.122,0.31607229912589563,-85.04053557,Animal,16.539629825555554,9.326364980000001,0.305915566852808,0.694084433147192,11.31999137
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-25.3165297,-83.44303776400838,0.08337204591243896,-17.17,0.173,0.122,0.31607229912589563,-88.86999914,Animal,16.539629825555554,9.326364980000001,0.305915566852808,0.694084433147192,11.61638703
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.10319635,-90.72779840400838,-0.6943962240875621,-17.17,0.173,0.122,0.31607229912589563,-96.15475978,Animal,16.539629825555554,9.326364980000001,0.305915566852808,0.694084433147192,10.83861876
Transition,I-Predator,Corduliidae,2,NA,Invertebrate,-27.91756121,-74.93468201400837,5.776885167816218,-17.17,0.173,0.122,0.31607229912589563,-80.36164339,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,16.67060992
Transition,I-Predator,Corydalidae,3,NA,Invertebrate,-27.63467426,-67.06932756205492,3.1232932978162182,-17.17,0.173,0.122,0.4343917913771157,-74.52783462,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,14.01701805
Transition,I-Gatherer,Dogielinotidae,2,NA,Invertebrate,-25.98084983,-94.54183329400836,4.111593693057246,-17.17,0.173,0.122,0.31607229912589563,-99.96879467,Animal,16.539629825555554,9.326364980000001,0.2714081763057697,0.7285918236942304,15.39569773
Transition,I-Gatherer,Elmidae,2,NA,Invertebrate,-28.2066979,-75.31905803400838,1.7501525530572462,-17.17,0.173,0.122,0.31607229912589563,-80.74601941,Animal,16.539629825555554,9.326364980000001,0.2714081763057697,0.7285918236942304,13.03425659
Transition,I-Gatherer,Elmidae,2,NA,Invertebrate,-28.55131772,-93.04078351400838,3.847898573057247,-17.17,0.173,0.122,0.31607229912589563,-98.46774489,Animal,16.539629825555554,9.326364980000001,0.2714081763057697,0.7285918236942304,15.13200261
Transition,I-NA,Filamentous Algae,1,NA,Aquatic,-29.54722081,-137.6600037278215,-0.7753367455555544,-17.17,0.173,0.122,0.17300157088983747,-140.6304407,Plant,16.539629825555554,9.326364980000001,1,0,15.76429308
Transition,I-NA,Filamentous Algae,1,NA,Aquatic,-20.87235335,-198.1916590278215,2.6459331944444457,-17.17,0.173,0.122,0.17300157088983747,-201.162096,Plant,16.539629825555554,9.326364980000001,1,0,19.18556302
Transition,I-NA,Filamentous Algae,1,NA,Aquatic,-25.20978708,-184.8345005278215,0.9352982244444448,-17.17,0.173,0.122,0.17300157088983747,-187.8049375,Plant,16.539629825555554,9.326364980000001,1,0,17.47492805
Transition,I-Predator,Gomphidae,3,NA,Invertebrate,-27.60784389,-85.26557787205493,5.320940857816218,-17.17,0.173,0.122,0.4343917913771157,-92.72408493,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,16.21466561
Transition,I-NA,C3 grass,1,NA,Terrestrial,-31.8304093,-93.0579191378215,3.5555766899999988,-17.17,0.173,0.122,0.17300157088983747,-96.02835611,Plant,16.539629825555554,9.326364980000001,0,1,12.88194167
Transition,I-NA,C3 grass,1,NA,Terrestrial,-31.38084803,-85.1489614578215,4.66893567,-17.17,0.173,0.122,0.17300157088983747,-88.11939843,Plant,16.539629825555554,9.326364980000001,0,1,13.99530065
Transition,I-NA,C3 grass,1,NA,Terrestrial,-30.64614836,-97.4167279278215,-0.7425776250000009,-17.17,0.173,0.122,0.17300157088983747,-100.3871649,Plant,16.539629825555554,9.326364980000001,0,1,8.583787355
Transition,I-Predator,Gyrinidae,3,NA,Invertebrate,-29.53426494,-90.21837133205491,1.7817937578162173,-17.17,0.173,0.122,0.4343917913771157,-97.67687839,Animal,16.539629825555554,9.326364980000001,0.21728853795649966,0.7827114620435003,12.67551851
Transition,F-Invertivore,H.cyanoguttatus,2.9,120,Fish,-26.01004777,-81.11825500645273,3.186906339332144,-17.17,0.173,0.122,0.42354534208196126,-88.39052853,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,15.12185349
Transition,F-Invertivore,H.cyanoguttatus,2.9,160,Fish,-26.55415962142857,-93.01920357645272,6.276154912189289,-17.17,0.173,0.122,0.42354534208196126,-100.2914771,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,18.211102062857144
Transition,F-Invertivore,H.cyanoguttatus,2.9,40,Fish,-26.73434092,-83.77287385645273,6.9197544093321435,-17.17,0.173,0.122,0.42354534208196126,-91.04514738,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,18.85470156
Transition,F-Invertivore,H.cyanoguttatus,2.9,40,Fish,-27.30253642,-101.67436617645274,7.730669469332146,-17.17,0.173,0.122,0.42354534208196126,-108.9466397,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,19.66561662
Transition,F-Invertivore,H.cyanoguttatus,2.9,80,Fish,-26.07873074,-104.40108107645273,8.004695839332143,-17.17,0.173,0.122,0.42354534208196126,-111.6733546,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,19.93964299
Transition,F-Invertivore,H.cyanoguttatus,2.9,80,Fish,-28.02370762,-92.59798868645274,6.962380729332144,-17.17,0.173,0.122,0.42354534208196126,-99.87026221,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,18.89732788
Transition,F-Invertivore,H.cyanoguttatus,2.9,80,Fish,-26.68022707,-105.36777727645271,7.280048329332144,-17.17,0.173,0.122,0.42354534208196126,-112.6400508,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,19.21499548
Transition,F-Invertivore,H.cyanoguttatus,2.9,NA,Fish,-25.04952681,-94.564506522167,3.848629269332144,-17.17,0.173,0.122,0.42354534208196126,-101.83678004571428,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,15.78357642
Transition,I-Filterer,Hydropsychidae,2,NA,Invertebrate,-29.42694344,-116.01879752400838,4.420384795912439,-17.17,0.173,0.122,0.31607229912589563,-121.4457589,Animal,16.539629825555554,9.326364980000001,0.305915566852808,0.694084433147192,15.95339978
Transition,F-Piscivore,I.punctatus,4.2,80,Fish,-27.60640654,-102.25902131940413,8.045288333693009,-17.17,0.173,0.122,0.549678880640412,-111.6970077,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,19.79146577
Transition,F-Piscivore,I.punctatus,4.2,80,Fish,-27.330634,-103.51013961940411,8.339612943693009,-17.17,0.173,0.122,0.549678880640412,-112.948126,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,20.08579038
Transition,F-Piscivore,I.punctatus,4.2,80,Fish,-28.39522006,-98.22026761940413,7.505354893693009,-17.17,0.173,0.122,0.549678880640412,-107.658254,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,19.25153233
Transition,F-Piscivore,L.cyanellus,3.5,12,Fish,-24.81850227,-87.09756551979106,2.9149057936930083,-17.17,0.173,0.122,0.4856384948675363,-95.43597847666666,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,14.66108323
Transition,F-Piscivore,L.cyanellus,3.5,12,Fish,-24.36269709,-87.09756551979106,4.2221130536930085,-17.17,0.173,0.122,0.4856384948675363,-95.43597847666666,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,15.96829049
Transition,F-Piscivore,L.cyanellus,3.5,120,Fish,-25.360334603333335,-80.6706704131244,3.1644051086930096,-17.17,0.173,0.122,0.4856384948675363,-89.00908337,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,14.910582545
Transition,F-Piscivore,L.cyanellus,3.5,120,Fish,-25.360334603333335,-73.83173362312439,3.1644051086930096,-17.17,0.173,0.122,0.4856384948675363,-82.17014658,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,14.910582545
Transition,F-Piscivore,L.cyanellus,3.5,120,Fish,-25.360334603333335,-78.6249413531244,3.1644051086930096,-17.17,0.173,0.122,0.4856384948675363,-86.96335431,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,14.910582545
Transition,F-Piscivore,L.cyanellus,3.5,80,Fish,-25.93720219,-97.9550511431244,4.590526283693008,-17.17,0.173,0.122,0.4856384948675363,-106.2934641,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,16.33670372
Transition,F-Piscivore,L.cyanellus,3.5,80,Fish,-25.1796082,-98.9966184431244,5.076669353693009,-17.17,0.173,0.122,0.4856384948675363,-107.3350314,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,16.82284679
Transition,F-Piscivore,L.cyanellus,3.5,80,Fish,-27.59391872,-92.5063781431244,3.71262699369301,-17.17,0.173,0.122,0.4856384948675363,-100.8447911,Animal,16.539629825555554,9.326364980000001,0.33546701918174465,0.6645329808182554,15.45880443
Transition,F-Invertivore,L.gulosus,3.4,120,Fish,-26.233267425,-84.03851103329285,6.217942434332145,-17.17,0.173,0.122,0.475774783733672,-92.20756407,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,18.152889585
Transition,F-Invertivore,L.gulosus,3.4,160,Fish,-25.77798257,-94.78365364829284,5.872364739332146,-17.17,0.173,0.122,0.475774783733672,-102.952706685,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,17.80731189
Transition,F-Invertivore,L.gulosus,3.4,80,Fish,-26.68855228,-105.52879626329285,6.563520129332145,-17.17,0.173,0.122,0.475774783733672,-113.6978493,Animal,16.539629825555554,9.326364980000001,0.36163682140066306,0.6383631785993369,18.49846728
